ProductID,Category,Subcategory,Gender,Style,Color,Occasion,BodyType
M-Me-Me,Men's Raincoats,Men Raincoats,Men,Vintage,terracotta,N,Pear
W-Wo-Sl,Women's Accessories,Sling bags,Women,Urban,White,Formal,Curvy
M-Me-Th,Men's Bottomwear,Three-Fourths,Men,Artsy,Green,Retro Party,lanky
W-Wo-Pr,Women's Jewellery,Precious Articles,Women,Retro,Red,Business Casual,Tall
W-Wo-Hy,Women's Watches,Hybrid Watches,Women,Gothic,Grey,Holiday,Oval
M-Me-Me,Men's Tracksuits,Men's Tracksuits,Men,Edgy,Marron,Prom,Athletic
M-Me-Me,Men's Raincoats,Men Raincoats,Men,Classic,Pink,N,Tall and Slim
W-Wo-Pr,Women's Jewellery,Precious Articles,Women,Futuristic,Red,Layering,Full-Figured
W-Wo-Hy,Women's Watches,Hybrid Watches,Women,Formal,Green,Formal Cruise Night,Tall
W-Wo-Dr,Women's Dresses and Gowns,Dresses,Women,Romantic,olive green,Beach,Long Torso
M-Me-Ts,Men's Topwear,Tshirts,Men,Casual,Purple,Winter Fashion,Short and Stocky
M-Me-Fo,Men's Footwear,Formal Shoes,Men,Trendy,Navy,Graduation,Diamond
W-Wo-Et,"Women's Kurtas,Ethnic Sets and Bottoms",Ethnic Pyjamas,Women,Vintage,terracotta,Outdoor events,Oval
M-Me-Ch,Men's Watches,Chain Watches,Men,Formal,Black,N,Tall and Slim
W-Wo-Sw,Women's Innerwear and Swimwear,Swimsuits,Women,Sporty,silver,Business Casual,Hourglass
M-Me-Ts,Men's Topwear,Tshirts,Men,Urban,Red,Picnic,Endomorph
W-Wo-Py,Women's Sleepwear,Pyjamas and Lounge Pants,Women,Classic,gold,Casual,Lean and Slim
M-Me-Dr,Men's Fabrics,Dress Materials,Men,Urban,olive green,Prom,Pear
M-Me-Ni,Men's Sleepwear,Night Suits,Men,Artsy,Beige,N,Straight
W-Wo-Ar,Women's Winter Wear,Arm Warmers,Women,Minimalist,terracotta,N,Pear
M-Me-Me,Men's Tracksuits,Men's Tracksuits,Men,Urban,gold,Prom,Ectomorph
W-Wo-Pe,Women's Sarees and Saree Essentials,Petticoats,Women,Chic,Blue,Beach,Hourglass
W-Wo-Ku,"Women's Kurtas,Ethnic Sets and Bottoms",Kurtas,Women,Minimalist,Yellow,Layering,Full Bust
W-Wo-Dh,"Women's Kurtas,Ethnic Sets and Bottoms",Dhoti Pants,Women,Classic,Purple,Business Casual,Short
M-Me-Wa,"Men's Blazers,Waistcoats and Suits",Waistcoats,Men,Sporty,Orange,Outdoor events,lanky
M-Me-Sh,Men's Fabrics,Shirt and Trouser Fabrics,Men,Western,Peach,Festive,Athletic
W-Wo-Pr,Women's Jewellery,Precious Articles,Women,BOho-Chic,vibrant yellow,Retro Party,Full-Figured
M-Me-Py,Men's Sleepwear,Pyjamas and Lounge Pants,Men,Trendy,Sage,A,Endomorph
M-Me-Fo,Men's Footwear,Formal Shoes,Men,Sporty,Lavender,Festive,lanky
M-Me-Ni,Men's Sleepwear,Night Suits,Men,Western,Teal,A,Straight
